Waktu,Tanggal,Jam,Latar Tempat,Objek Terdeteksi,Ekspresi,Kelamin,Keterangan,Foto
2025-11-06 18:39:18,2025-11-06,18:39:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,person_1_20251106_183918.jpg
2025-11-06 18:39:18,2025-11-06,18:39:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,person_2_20251106_183918.jpg
2025-11-06 18:39:26,2025-11-06,18:39:26,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,person_3_20251106_183926.jpg
2025-11-07 08:52:57,2025-11-07,08:52:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085257.jpg
2025-11-07 08:53:03,2025-11-07,08:53:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085303.jpg
2025-11-07 08:53:11,2025-11-07,08:53:11,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085311.jpg
2025-11-07 08:53:21,2025-11-07,08:53:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085321.jpg
2025-11-07 08:53:27,2025-11-07,08:53:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085327.jpg
2025-11-07 08:53:33,2025-11-07,08:53:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085333.jpg
2025-11-07 08:53:39,2025-11-07,08:53:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085339.jpg
2025-11-07 08:53:44,2025-11-07,08:53:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085344.jpg
2025-11-07 08:53:53,2025-11-07,08:53:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085353.jpg
2025-11-07 08:53:59,2025-11-07,08:53:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085359.jpg
2025-11-07 08:54:05,2025-11-07,08:54:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085405.jpg
2025-11-07 08:54:12,2025-11-07,08:54:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085412.jpg
2025-11-07 08:54:22,2025-11-07,08:54:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085422.jpg
2025-11-07 08:54:27,2025-11-07,08:54:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085427.jpg
2025-11-07 08:54:32,2025-11-07,08:54:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085432.jpg
2025-11-07 08:54:41,2025-11-07,08:54:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085441.jpg
2025-11-07 08:54:51,2025-11-07,08:54:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085451.jpg
2025-11-07 08:54:56,2025-11-07,08:54:56,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085456.jpg
2025-11-07 08:55:02,2025-11-07,08:55:02,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085502.jpg
2025-11-07 08:55:10,2025-11-07,08:55:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085510.jpg
2025-11-07 08:55:16,2025-11-07,08:55:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085516.jpg
2025-11-07 08:55:21,2025-11-07,08:55:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085521.jpg
2025-11-07 08:55:27,2025-11-07,08:55:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085527.jpg
2025-11-07 08:55:32,2025-11-07,08:55:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085532.jpg
2025-11-07 08:55:37,2025-11-07,08:55:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085537.jpg
2025-11-07 08:55:42,2025-11-07,08:55:42,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085542.jpg
2025-11-07 08:55:48,2025-11-07,08:55:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_085548.jpg
2025-11-07 08:55:53,2025-11-07,08:55:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085553.jpg
2025-11-07 08:56:54,2025-11-07,08:56:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085654.jpg
2025-11-07 08:57:00,2025-11-07,08:57:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085700.jpg
2025-11-07 08:57:06,2025-11-07,08:57:06,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085706.jpg
2025-11-07 08:57:12,2025-11-07,08:57:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085712.jpg
2025-11-07 08:57:14,2025-11-07,08:57:14,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085714.jpg
2025-11-07 08:57:18,2025-11-07,08:57:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_085718.jpg
2025-11-07 08:57:21,2025-11-07,08:57:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_085721.jpg
2025-11-07 08:57:21,2025-11-07,08:57:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_085721.jpg
