Waktu,Tanggal,Jam,Latar Tempat,Objek Terdeteksi,Jumlah,Confidence,Lokasi ROI,Foto
2025-11-06 18:39:02,2025-11-06,18:39:02,Webcam,person,1,0.72,Dalam ROI,
2025-11-06 18:39:09,2025-11-06,18:39:09,Webcam,person,1,0.72,Dalam ROI,
2025-11-06 18:39:14,2025-11-06,18:39:14,Webcam,person,1,0.73,Dalam ROI,
2025-11-06 18:39:20,2025-11-06,18:39:20,Webcam,person,1,0.89,Dalam ROI,
2025-11-06 18:39:26,2025-11-06,18:39:26,Webcam,person,1,0.87,Dalam ROI,
2025-11-07 08:34:34,2025-11-07,08:34:34,Webcam,person,1,0.92,Inside ROI,-
2025-11-07 08:34:39,2025-11-07,08:34:39,Webcam,person,1,0.94,Inside ROI,-
2025-11-07 08:34:44,2025-11-07,08:34:44,Webcam,person,1,0.90,Inside ROI,-
2025-11-07 08:34:46,2025-11-07,08:34:46,Webcam,cell phone,1,0.52,Outside ROI,-
2025-11-07 08:34:47,2025-11-07,08:34:47,Webcam,remote,1,0.63,Outside ROI,-
2025-11-07 08:34:48,2025-11-07,08:34:48,Webcam,cell phone,1,0.61,Inside ROI,-
2025-11-07 08:34:49,2025-11-07,08:34:49,Webcam,remote,1,0.72,Inside ROI,-
2025-11-07 08:34:50,2025-11-07,08:34:50,Webcam,person,1,0.91,Inside ROI,-
2025-11-07 08:34:52,2025-11-07,08:34:52,Webcam,person,1,0.64,Outside ROI,-
2025-11-07 08:34:55,2025-11-07,08:34:55,Webcam,person,1,0.94,Inside ROI,-
2025-11-07 08:35:00,2025-11-07,08:35:00,Webcam,person,1,0.94,Inside ROI,-
2025-11-07 08:35:03,2025-11-07,08:35:03,Webcam,person,1,0.78,Outside ROI,-
2025-11-07 08:35:05,2025-11-07,08:35:05,Webcam,person,1,0.94,Inside ROI,-
2025-11-07 08:35:10,2025-11-07,08:35:10,Webcam,person,1,0.93,Inside ROI,-
2025-11-07 08:35:15,2025-11-07,08:35:15,Webcam,person,1,0.89,Inside ROI,-
2025-11-07 08:35:21,2025-11-07,08:35:21,Webcam,person,1,0.92,Inside ROI,-
2025-11-07 08:35:26,2025-11-07,08:35:26,Webcam,person,1,0.92,Inside ROI,-
2025-11-07 08:35:31,2025-11-07,08:35:31,Webcam,person,1,0.90,Inside ROI,-
2025-11-07 08:35:36,2025-11-07,08:35:36,Webcam,person,1,0.93,Inside ROI,-
2025-11-07 08:35:39,2025-11-07,08:35:39,Webcam,person,1,0.91,Outside ROI,-
2025-11-07 08:35:41,2025-11-07,08:35:41,Webcam,person,1,0.92,Inside ROI,-
2025-11-07 08:35:46,2025-11-07,08:35:46,Webcam,person,1,0.88,Inside ROI,-
2025-11-07 08:35:50,2025-11-07,08:35:50,Webcam,person,1,0.90,Outside ROI,-
2025-11-07 08:35:52,2025-11-07,08:35:52,Webcam,person,1,0.87,Inside ROI,-
2025-11-09 08:59:44,2025-11-09,08:59:44,Webcam,person,1,0.82,Inside ROI,objects\person\person_20251109_085944_0-0-463-479.jpg
2025-11-09 08:59:50,2025-11-09,08:59:50,Webcam,person,1,0.76,Inside ROI,objects\person\person_20251109_085950_9-44-478-479.jpg
2025-11-09 08:59:55,2025-11-09,08:59:55,Webcam,person,1,0.80,Inside ROI,objects\person\person_20251109_085955_7-45-482-479.jpg
